V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Ruminococcus 1	0	2	3	3	10	11	7	5	4	4	3	3	4	5	7	3	5	6	0	7	2	6	2	5	4	4	8	3	3	3	9	7	4	5	5	5	3	3	3	4	8	3	5	4	8	3	5	5	7	7	2	4	4	3	2	2	4	4	5	4	8	7	2	6	5	2	4	5	2	6	2	10	5	2	2	7	5	3	3	2	5	1	5	2	2	4	5	6	4	3	3	5	3	5	4	9	6	5	6	3
Ruminococcus 2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	2	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	1	3	0	2	0	0	0	0	0	1	0	2	0
Runella	12	12	6	6	15	13	18	10	10	7	15	13	10	14	7	9	12	10	19	14	11	20	8	9	13	12	14	9	4	11	10	17	15	13	14	11	13	12	10	14	14	11	8	13	17	16	8	6	9	15	12	10	12	10	17	10	4	10	10	7	15	11	7	9	12	11	11	16	9	9	8	20	12	12	11	18	11	10	12	4	10	12	14	14	8	14	7	11	17	7	13	6	13	14	11	9	7	7	14	10
SH-PL14	2	3	0	1	1	0	1	1	1	0	2	1	0	0	0	1	1	3	1	3	4	1	0	3	2	3	1	1	2	2	0	0	4	1	0	1	0	0	1	1	2	1	2	1	0	0	0	1	1	2	0	0	2	0	0	0	1	2	0	1	1	1	1	3	0	0	1	3	0	1	0	1	3	0	0	2	1	2	1	0	1	2	2	0	3	1	1	0	0	1	1	1	0	1	1	0	0	0	0	2
SM1A02	6	1	2	3	5	5	2	3	0	3	3	4	4	2	1	2	3	3	3	4	2	4	3	2	1	4	4	0	2	0	2	2	2	1	2	3	4	1	3	4	2	3	1	7	1	1	1	2	1	0	1	1	3	2	4	2	1	1	6	4	6	1	2	0	4	0	2	5	3	0	1	1	2	4	0	1	0	3	4	2	0	6	1	3	2	6	2	2	3	1	2	4	1	0	2	1	2	1	0	2
Saccharibacillus	1	0	1	0	1	1	0	0	1	2	3	2	1	0	1	2	0	0	0	1	1	0	1	1	2	1	2	0	1	1	0	0	0	3	1	2	1	0	0	1	0	1	3	0	2	1	1	1	1	0	1	1	0	2	1	2	3	0	1	0	0	2	0	1	0	0	0	2	0	2	0	0	1	0	1	0	0	1	2	1	0	0	2	1	2	2	0	3	1	2	0	0	2	0	0	1	0	2	1	0
Saccharofermentans	2	4	2	5	1	7	2	0	2	3	0	4	2	1	1	8	1	5	1	1	2	2	5	3	3	4	1	2	5	2	4	2	2	4	2	1	5	6	6	2	8	3	4	2	1	2	3	4	4	3	2	1	4	5	1	1	3	6	3	1	3	0	4	3	2	2	7	2	3	2	3	1	5	1	4	4	1	0	6	3	4	3	4	1	4	4	1	2	4	2	0	1	2	4	4	1	6	3	3	0
Salinispira	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	1	0	1	1	1	0	2	0	1	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1
Salmonella	4	7	7	8	8	8	3	5	9	3	2	4	1	6	6	10	5	4	5	9	7	9	8	2	6	7	9	5	7	1	3	5	4	4	5	6	6	3	3	7	3	5	1	5	5	6	8	11	9	6	5	3	6	7	7	10	4	1	4	5	4	4	4	2	9	7	8	6	4	9	10	3	3	7	7	6	4	2	3	5	9	5	3	1	8	4	1	7	7	6	3	4	3	6	7	7	5	8	4	3
Sandaracinus	0	0	1	1	1	2	0	0	0	1	1	1	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	4	1	1	0	0	2	0	3	1	0	1	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	1	1	0	0	1	2	0	0	1	1	0	0	1	0	1	0	1	0	1
Sandarakinorhabdus	9	16	9	4	12	8	8	7	7	2	10	6	10	6	11	7	7	11	8	4	14	7	7	9	8	5	10	9	11	8	7	7	8	7	8	7	10	9	11	16	12	6	9	15	8	6	9	8	12	7	10	10	10	14	10	15	11	11	13	8	5	10	11	8	10	10	9	12	10	9	13	6	6	8	3	10	13	12	12	13	9	8	8	6	4	10	11	9	10	5	8	8	2	9	7	8	11	7	8	10
