V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Hydrogenophaga	2	3	1	0	0	2	1	0	2	1	2	1	2	1	1	0	1	0	2	1	1	1	2	1	1	1	1	1	2	1	0	2	0	2	0	1	1	0	1	1	2	0	0	0	1	1	0	0	3	2	1	0	1	0	1	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	3	0	1	3	1	0	0	2	0	1	4	1	4	0	1	2	0	0	2	1	1	0	0	4	1	0	1	2	2	1
Klebsiella	17	11	12	16	15	15	16	10	20	16	19	19	10	13	19	14	18	17	18	12	14	18	14	17	12	15	17	10	19	15	10	10	17	15	17	12	22	15	15	15	13	15	19	17	12	17	15	13	16	26	14	16	14	11	21	19	15	13	18	17	17	22	25	16	11	14	19	12	14	16	16	20	18	17	11	18	12	19	18	15	15	13	14	18	20	13	15	10	14	18	17	20	22	29	14	9	17	11	22	17
Kosakonia	3	2	4	2	3	4	2	3	1	3	3	1	5	1	4	1	7	4	3	3	2	1	0	6	6	1	3	1	4	2	1	4	2	3	2	2	2	1	0	3	7	3	3	4	5	2	3	1	1	3	1	1	2	2	3	3	3	0	6	2	2	2	4	3	3	1	3	1	5	7	4	0	5	3	2	3	3	4	2	2	1	3	8	2	2	2	2	0	1	1	1	1	6	4	3	4	2	3	6	2
Lactobacillus	1819	1770	1817	1678	1759	1785	1829	1795	1803	1815	1746	1776	1867	1776	1830	1852	1833	1852	1788	1778	1805	1875	1802	1815	1762	1765	1799	1774	1798	1768	1722	1731	1834	1848	1780	1800	1787	1806	1792	1811	1860	1853	1758	1731	1811	1782	1853	1788	1757	1742	1809	1777	1756	1812	1744	1775	1784	1822	1797	1812	1793	1744	1778	1763	1769	1740	1756	1812	1819	1792	1786	1799	1770	1766	1829	1763	1806	1796	1800	1796	1871	1794	1748	1824	1725	1801	1780	1815	1772	1773	1805	1681	1809	1790	1833	1831	1838	1736	1697	1812
Limnohabitans	31	29	41	27	41	39	25	42	38	27	34	30	32	34	31	30	30	42	29	32	37	39	33	42	29	36	43	36	28	41	40	20	37	36	38	31	36	33	31	37	40	27	34	42	34	32	44	28	39	32	31	45	41	44	39	29	33	35	30	32	38	28	32	40	38	34	39	36	26	43	36	30	41	45	42	45	40	34	34	39	34	36	40	31	41	14	41	33	36	34	45	44	42	33	34	31	38	41	39	35
Listeria	3047	3067	2967	2916	2924	2995	2938	2951	2928	2932	2967	2954	2939	2849	2965	2884	2826	2894	3077	3013	2964	2963	2937	2941	2950	3052	2973	2956	2997	2962	2943	2915	2945	3030	2939	3038	2986	3000	2912	2952	2981	2967	2965	2924	2870	2930	3012	3045	2849	2935	3011	2906	2862	2985	2972	2906	2982	2891	2923	2958	3007	3036	3017	2863	2962	2908	2851	2943	2950	2934	2887	2902	3017	2978	3059	2998	2971	2978	2989	2997	3069	2930	2963	2812	2946	2981	2896	3051	3013	2946	2991	2974	2860	2998	2938	2897	3027	3019	3083	2935
Pantoea	1	4	2	1	2	0	2	2	1	2	1	5	4	3	2	3	1	1	1	2	3	1	0	3	2	4	3	1	1	1	2	2	4	1	2	2	2	2	2	3	1	1	1	4	5	5	0	5	3	1	3	0	0	2	2	3	1	2	2	1	3	2	2	2	1	1	3	2	0	3	3	1	4	0	3	2	5	0	2	2	3	2	5	1	1	3	5	1	2	2	3	0	1	1	4	4	3	6	1	3
Pluralibacter	1	1	1	3	0	0	2	2	4	0	1	0	2	2	1	1	0	1	3	3	0	1	2	0	2	3	1	3	1	2	1	2	1	1	0	2	1	1	2	1	2	1	1	5	3	1	1	1	0	2	1	1	4	5	2	1	3	0	1	3	4	1	0	4	1	1	2	4	3	0	1	0	3	5	1	2	2	2	4	1	3	0	1	1	1	1	0	1	2	1	4	0	1	9	1	3	5	2	3	2
Polynucleobacter	2	3	3	0	1	2	2	2	1	3	3	2	4	2	3	3	2	6	4	4	7	2	2	2	3	1	3	4	4	2	4	2	2	5	1	0	1	2	1	2	1	5	2	1	5	3	3	5	2	5	4	4	1	1	3	1	4	5	2	0	2	4	4	1	4	1	5	1	1	2	2	3	3	2	3	3	2	3	2	5	3	3	2	4	3	0	5	5	2	2	1	1	2	3	6	1	4	1	3	1
Pseudarcicella	10	13	16	8	9	16	11	12	14	9	7	8	15	13	11	9	12	6	11	13	8	6	10	13	12	7	11	7	11	20	9	16	15	13	13	9	18	11	7	15	10	15	7	16	13	5	12	11	16	19	11	12	11	13	14	11	11	11	14	15	9	11	14	19	14	14	12	16	13	10	12	11	10	11	8	9	14	12	8	14	15	10	13	10	12	14	7	12	12	13	9	10	10	11	11	15	11	15	10	16
Pseudomonas	283	300	342	314	299	356	290	295	280	297	303	295	271	297	310	281	289	299	317	290	296	303	300	299	259	277	321	290	309	282	310	289	302	278	298	313	316	297	298	334	275	271	297	307	322	313	284	303	307	308	301	317	307	276	316	282	277	330	305	340	300	291	300	280	308	311	297	294	274	289	317	300	318	301	284	307	317	308	342	274	278	300	327	314	292	285	326	284	276	289	268	296	294	275	329	299	279	311	272	293
Pseudorhodobacter	2	4	2	2	3	2	5	1	5	2	3	4	5	1	6	4	2	2	4	1	5	2	3	0	3	2	0	1	0	2	2	0	5	1	2	1	2	5	1	4	0	2	2	4	5	1	0	3	1	4	0	1	2	3	1	5	6	1	2	1	3	1	7	3	4	2	0	3	4	3	1	2	5	3	3	3	1	2	3	8	2	2	2	4	2	0	1	2	1	0	5	1	0	2	2	3	4	1	2	2
Rhodobacter	1	3	1	2	2	1	2	2	1	1	4	1	1	2	3	3	0	2	0	3	0	0	0	0	1	2	4	4	2	2	1	6	4	0	2	0	5	2	2	2	0	2	0	1	1	3	4	3	3	1	0	4	0	0	0	0	3	0	2	2	0	1	3	2	2	2	0	2	2	2	0	5	3	2	2	0	1	1	1	1	1	1	4	3	5	1	1	3	1	3	1	0	2	1	1	0	2	1	4	0
Rhodoferax	8	5	4	3	4	1	4	1	6	3	1	2	1	3	3	4	4	2	4	1	1	3	3	4	5	4	6	3	4	5	2	3	4	4	5	5	3	6	2	5	4	2	1	1	5	3	5	2	1	2	3	1	1	4	3	2	4	1	4	5	7	4	4	2	1	5	5	3	8	4	3	4	5	1	2	3	5	9	1	5	6	1	1	7	5	6	0	5	4	1	5	8	1	2	2	6	2	1	5	1
Rhodoluna	4	2	2	2	2	1	1	1	4	2	5	2	1	2	2	2	3	0	7	2	2	1	2	3	4	2	2	4	1	7	4	3	3	3	2	0	1	3	1	3	3	0	3	5	1	1	1	0	6	1	1	2	2	0	1	1	3	4	5	2	1	2	1	1	2	2	2	1	4	0	2	5	1	0	5	0	2	1	2	1	2	2	1	2	2	4	2	1	3	3	0	3	2	0	2	3	3	1	4	0
Rickettsiella	0	0	1	0	0	4	0	1	0	1	5	0	2	1	0	2	1	1	2	1	0	1	1	2	1	1	0	0	3	3	1	1	2	0	1	1	0	1	2	1	0	0	1	0	2	2	0	2	1	2	1	0	2	1	1	0	0	3	0	1	1	2	1	1	0	2	0	0	3	1	0	1	0	0	1	0	1	3	1	0	2	3	2	1	0	0	1	2	3	2	1	2	0	3	2	0	0	0	0	1
Salmonella	10212	10326	10330	10459	10449	10212	10145	10267	10257	10000	10241	10413	10256	10280	10210	10373	10319	10170	10077	10183	10283	10197	10223	10441	10349	10174	10144	10339	10242	10302	10315	10196	10096	10248	10259	10351	10109	10295	10240	10314	10122	10252	10202	10221	10302	10365	10247	10266	10272	10108	10144	10372	10144	10161	10110	10307	10253	10195	10320	10245	10261	10392	10356	10360	10147	10396	10270	10176	10399	10331	10246	10293	10120	10224	10300	10189	10102	10213	10321	10297	10360	10265	10341	10444	10278	10290	10314	10182	10203	10387	10218	10261	10381	10206	10165	10097	10138	10285	10324	10426
Serratia	1	0	1	2	0	1	2	3	1	1	1	1	0	0	1	1	0	0	3	0	1	3	2	1	1	0	1	5	1	2	1	3	0	3	0	3	1	0	1	1	0	0	2	2	2	0	2	3	0	2	3	1	3	2	1	0	1	1	0	1	0	2	0	2	2	1	0	2	0	2	0	1	2	0	1	3	3	1	0	1	1	3	4	3	0	1	1	1	0	1	1	4	1	2	2	1	0	0	1	3
Sphingorhabdus	1	2	2	2	5	1	1	1	2	3	4	2	2	1	0	0	1	4	1	2	3	2	2	3	2	0	1	4	3	3	2	2	0	2	0	2	1	0	2	1	2	1	5	4	1	3	2	2	3	2	3	1	2	3	1	2	2	2	2	2	3	1	1	1	2	0	1	4	3	1	4	1	1	3	1	0	1	3	1	1	1	1	3	3	1	1	2	4	1	0	1	2	2	0	1	0	2	1	1	4
Staphylococcus	3782	3624	3613	3731	3745	3712	3792	3721	3739	3776	3739	3677	3756	3655	3728	3678	3699	3785	3743	3740	3659	3744	3747	3658	3728	3724	3750	3638	3707	3712	3775	3676	3773	3752	3733	3663	3695	3692	3783	3662	3768	3763	3746	3780	3702	3722	3648	3597	3754	3799	3797	3635	3734	3764	3705	3724	3800	3695	3688	3722	3698	3729	3726	3746	3740	3777	3755	3727	3749	3763	3631	3712	3715	3808	3758	3674	3748	3700	3595	3747	3723	3764	3694	3814	3773	3816	3814	3714	3755	3694	3766	3641	3645	3734	3720	3824	3761	3853	3733	3592
Tabrizicola	7	7	4	6	5	8	9	3	2	3	5	4	4	9	8	0	5	8	7	7	3	6	4	8	7	3	4	4	3	6	9	6	5	6	6	4	4	5	10	3	5	8	4	7	11	2	4	4	8	3	7	5	6	5	9	3	9	7	7	6	3	6	4	2	2	8	2	6	6	5	7	4	3	6	7	3	4	8	5	7	2	7	6	3	4	7	4	7	4	4	0	4	7	6	3	5	6	4	4	7
Vibrio	3	2	2	0	1	1	2	2	0	3	2	2	1	2	2	2	2	2	1	2	5	0	5	2	3	4	1	2	3	3	2	2	0	2	4	4	0	4	3	2	4	2	1	0	1	2	5	1	4	2	3	3	1	0	2	0	4	3	4	2	1	2	3	3	0	2	4	3	1	1	2	0	2	2	0	2	1	1	4	2	3	2	1	3	1	1	1	4	1	2	3	1	2	2	3	0	4	4	2	2
