	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Barnesiellaceae	0.0	0.0	4.0	4.0	0.0	2.0	3.0	0.0	4.0	2.0	5.0	0.0
Bdellovibrionaceae	4.0	2.0	73.0	316.0	0.0	27.0	11.0	1.0	4.0	156.0	3.0	0.0
Beggiatoaceae	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	11.0	2.0	434.0	4953.0	0.0	75.0	181.0	3.0	49.0	573.0	38.0	0.0
Beutenbergiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0
Blastocatellaceae	0.0	0.0	11.0	4.0	0.0	16.0	2.0	0.0	0.0	22.0	0.0	0.0
Blfdi19	3.0	0.0	46.0	453.0	0.0	38.0	20.0	0.0	7.0	42.0	13.0	0.0
Bogoriellaceae	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bradymonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Burkholderiaceae	5005.0	8190.0	61980.0	48085.0	277.0	53677.0	99509.0	164.0	58275.0	184912.0	70241.0	49.0
C2U	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COB P4-1 termite group	0.0	0.0	1.0	2.0	0.0	3.0	2.0	0.0	2.0	0.0	1.0	0.0
CR-115	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
CWT CU03-E12	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caedibacteraceae	0.0	0.0	8.0	33.0	0.0	1.0	4.0	0.0	0.0	1.0	2.0	0.0
Caldicoprobacteraceae	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldilineaceae	1.0	0.0	105.0	7.0	0.0	6.0	8.0	0.0	2.0	36.0	2.0	0.0
Caldisericaceae	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calditrichaceae	0.0	0.0	0.0	1.0	0.0	6.0	1.0	0.0	0.0	7.0	0.0	0.0
Campylobacteraceae	0.0	0.0	3.0	0.0	0.0	13.0	11.0	0.0	9.0	0.0	7.0	0.0
