name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Staphylococcaceae	F	2984	2876	2883	2958	2917	2906	2913	2883	2913	2926	2966	2860	2930	2886	2919	2876	2828	2959	2899	2948	2856	2937	2929	3008	2949	2949	2897	2922	2979	2900	2976	2988	2916	2834	2918	2907	2828	2850	2900	2864	2930	2916	2929	2919	2998	2895	2915	2881	2899	2921	2801	2995	2891	2938	2888	2928	2969	2971	2924	2968	2925	2870	2885	2913	2922	2988	2942	2947	2950	2910	2886	2828	2825	2910	2857	2968	2951	3053	2818	2935	2920	2862	2909	2857	2940	2968	2858	2898	2907	3008	2977	2926	2953	2955	2977	2915	2940	2990	2846	2864
Listeriaceae	F	1699	1762	1740	1708	1669	1715	1748	1676	1695	1702	1726	1664	1698	1659	1720	1683	1660	1632	1662	1664	1693	1715	1638	1699	1654	1733	1706	1646	1675	1714	1682	1618	1675	1654	1722	1749	1767	1576	1771	1685	1719	1701	1659	1700	1703	1670	1694	1719	1752	1632	1682	1729	1663	1669	1646	1686	1676	1695	1613	1727	1725	1684	1773	1676	1726	1688	1703	1740	1643	1685	1702	1683	1580	1682	1693	1676	1692	1605	1763	1715	1684	1627	1686	1701	1692	1675	1669	1715	1682	1672	1717	1658	1670	1668	1691	1732	1693	1700	1708	1666
Paenibacillaceae	F	2	2	1	0	1	3	1	0	1	2	1	1	0	0	1	0	2	3	2	1	3	0	1	1	1	1	1	1	2	2	2	0	2	0	1	0	2	0	4	2	0	1	2	2	1	1	2	0	0	2	0	3	5	0	0	0	1	2	1	0	1	1	1	0	1	0	2	0	2	1	1	1	0	1	1	1	2	2	3	0	0	1	3	0	0	2	0	2	1	2	1	1	1	0	0	1	0	5	1	0
Planococcaceae	F	4	3	0	3	5	2	2	3	5	4	2	4	1	4	2	1	3	0	1	1	5	0	6	3	0	2	1	1	3	3	1	1	4	1	3	0	2	4	3	1	3	3	3	2	2	0	0	2	2	3	5	1	1	2	5	1	4	2	2	2	2	2	4	1	4	4	1	2	2	5	4	4	1	3	4	3	7	3	2	2	3	2	2	3	4	3	4	4	3	3	3	2	2	5	3	2	5	1	2	4
Lactobacillaceae	F	1456	1497	1424	1433	1443	1516	1501	1428	1398	1507	1500	1423	1413	1383	1456	1454	1505	1504	1479	1457	1528	1460	1450	1419	1420	1431	1422	1497	1457	1482	1502	1508	1481	1384	1506	1479	1394	1475	1508	1445	1399	1467	1457	1424	1509	1394	1447	1444	1457	1488	1498	1381	1467	1472	1490	1439	1400	1438	1403	1464	1410	1465	1460	1507	1389	1394	1432	1463	1466	1457	1405	1490	1513	1427	1474	1470	1455	1434	1445	1417	1464	1505	1473	1447	1460	1400	1452	1470	1433	1444	1455	1442	1399	1497	1411	1474	1382	1404	1403	1457
Enterococcaceae	F	859	910	884	878	965	896	882	850	868	939	894	959	910	927	833	873	905	843	883	842	899	866	917	921	928	936	924	943	867	937	934	927	964	868	890	871	918	887	891	917	866	965	884	941	909	900	923	924	943	890	918	926	965	911	862	880	897	959	892	870	905	904	877	911	883	871	909	881	873	854	931	866	906	899	867	867	913	965	903	912	874	970	902	870	931	905	862	862	901	959	887	940	930	811	900	915	888	946	905	925
Carnobacteriaceae	F	6	3	5	7	5	8	6	12	2	13	4	7	2	4	7	6	3	8	4	4	5	4	1	8	3	5	8	6	8	3	5	3	5	5	10	6	7	10	5	11	11	5	5	3	4	6	5	12	6	3	9	8	3	7	4	10	6	6	8	5	7	5	10	7	6	8	4	3	8	8	7	3	4	11	3	8	12	9	10	5	9	6	6	5	14	3	5	4	4	6	11	2	5	3	11	7	5	9	6	7
Streptococcaceae	F	30	39	31	28	26	36	28	31	46	26	26	25	30	30	32	29	33	15	26	25	30	20	16	34	20	27	27	35	28	25	27	26	35	33	27	30	26	29	30	25	28	26	36	22	34	26	18	29	26	28	30	31	35	35	31	29	29	23	28	31	31	34	25	25	33	24	22	24	21	24	24	32	25	30	29	26	37	30	29	35	33	29	36	25	22	29	28	22	26	33	18	26	25	27	24	30	26	17	32	30
Leuconostocaceae	F	0	2	2	2	2	0	0	2	2	0	3	2	1	1	1	0	1	0	2	0	1	1	1	1	1	1	0	2	1	1	2	2	1	0	0	3	0	1	1	1	0	1	3	1	0	1	1	2	2	3	2	1	1	3	2	1	1	0	0	0	4	2	1	1	1	1	0	0	0	0	0	3	1	2	0	1	1	1	2	1	1	1	1	3	3	2	2	2	1	1	1	2	0	0	1	0	0	0	1	1
Microbacteriaceae	F	4	0	1	2	2	2	5	3	3	3	4	0	4	0	3	1	1	2	3	2	1	4	4	3	1	1	4	2	5	3	3	8	1	2	1	2	2	5	3	1	2	1	3	2	1	2	3	2	1	2	2	2	4	4	0	0	1	3	6	1	2	1	3	4	3	2	1	1	1	2	0	1	0	2	2	1	1	1	2	2	4	4	1	2	1	5	3	1	2	4	1	1	2	1	1	2	2	6	3	5
Armatimonadaceae	F	1	2	0	0	1	1	0	0	0	0	1	1	1	2	3	1	1	0	0	0	0	1	0	2	0	0	2	0	1	0	0	1	2	1	1	1	2	1	0	1	0	2	0	2	2	2	0	0	0	1	1	0	2	0	1	2	1	1	1	0	0	0	1	0	2	1	1	0	0	1	1	1	2	0	0	1	2	1	3	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	2	0	1	1
Aerococcaceae	F	0	1	0	1	3	0	0	2	0	1	1	0	1	3	2	0	1	1	2	1	4	2	0	1	0	3	1	0	1	1	1	1	0	1	4	1	1	1	2	3	0	2	0	0	1	2	1	2	1	1	1	1	2	1	2	1	0	1	1	2	2	1	1	1	0	2	1	0	0	2	1	0	1	2	0	0	1	1	0	0	1	3	0	0	0	4	2	0	2	0	1	1	0	4	1	1	1	0	2	3
Family XII	F	1	2	0	0	0	1	1	1	1	0	4	0	1	1	0	2	0	1	1	3	2	0	0	1	0	2	0	0	2	1	0	1	1	1	1	0	1	2	1	1	0	0	1	1	0	0	1	2	0	1	0	1	0	1	0	1	0	0	2	1	0	1	0	1	0	0	2	0	2	1	0	0	0	1	1	1	2	2	1	0	3	0	1	1	1	0	2	1	1	2	0	0	1	0	2	1	2	2	3	2
