name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Caulobacteraceae	F	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	3	0	0	2	1	2	0	0	1	0	1	1	0	1	1	0	3	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	2
Spirosomaceae	F	13	9	12	9	13	15	13	10	14	8	16	7	9	14	11	7	15	4	12	16	6	11	11	10	9	13	11	13	18	18	5	10	13	24	9	11	11	6	9	9	16	8	8	10	11	12	7	9	8	18	13	17	13	14	6	5	8	8	9	9	13	19	11	9	12	10	18	12	12	12	15	17	10	15	17	15	11	6	10	16	14	16	8	15	11	8	13	16	9	7	6	15	12	5	10	10	6	17	10	21
Flavobacteriaceae	F	2	0	5	0	5	0	3	5	4	3	3	2	2	2	3	6	7	4	6	5	5	4	8	3	3	2	1	1	3	5	6	3	3	3	2	4	2	4	8	2	1	6	4	2	1	3	5	3	4	3	1	8	2	3	6	3	7	3	4	1	1	4	3	6	4	3	1	2	4	6	2	4	5	2	4	4	8	6	4	5	5	5	4	2	3	5	2	0	2	8	8	1	2	5	5	1	2	9	3	3
NS11-12 marine group	F	6	7	6	11	3	10	14	10	12	8	12	6	9	9	5	12	6	10	3	7	7	7	12	6	9	10	8	3	6	9	10	9	5	10	9	9	11	9	6	6	10	16	5	9	10	7	10	11	7	10	12	5	10	5	2	13	5	6	12	9	2	5	7	11	6	8	10	12	8	9	8	7	16	11	10	12	7	11	8	8	4	12	5	8	6	11	14	10	3	9	8	8	7	5	5	10	8	10	7	8
Saprospiraceae	F	0	2	0	0	3	1	1	0	0	0	2	0	2	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	2	0	0	0	1	0	0	2	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	2	1	1	0	1	2	0	1	0	0	1
Chitinophagaceae	F	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2	1	0	1	0	2	0
Arcobacteraceae	F	5	0	5	1	2	6	2	1	2	3	3	2	1	1	1	4	0	1	2	2	0	3	3	1	0	3	1	3	3	2	2	1	4	2	3	1	1	1	2	3	2	1	2	5	1	1	4	2	2	4	6	2	2	3	2	0	8	1	2	3	11	3	1	3	0	1	2	1	2	0	3	2	5	4	1	2	3	1	1	3	4	2	0	3	1	5	1	6	1	3	0	4	4	2	3	5	4	1	4	0
Thiovulaceae	F	0	1	1	1	0	1	0	0	0	1	2	2	1	2	2	3	1	1	0	0	0	2	1	1	1	3	0	4	2	0	0	1	0	2	0	1	1	0	0	2	0	0	0	0	2	0	1	0	2	2	0	2	0	0	1	1	0	0	0	1	0	2	1	2	1	1	1	0	0	1	0	4	2	1	1	1	3	0	0	0	1	1	1	1	1	0	2	0	0	0	1	1	3	1	0	1	3	1	0	0
Lachnospiraceae	F	2	2	0	2	2	0	2	0	0	0	3	1	1	3	0	2	1	1	1	1	1	0	3	2	1	0	1	0	0	0	0	1	1	0	1	1	2	2	0	0	2	1	0	0	2	0	0	2	0	2	0	1	0	0	2	1	1	0	0	0	1	0	1	0	1	0	2	0	0	2	0	0	4	0	0	0	0	1	0	0	1	0	1	3	0	3	3	3	1	1	0	0	2	1	1	1	0	0	2	1
Ruminococcaceae	F	0	0	1	1	2	3	1	0	2	1	0	1	1	1	2	0	2	2	2	2	1	2	1	3	3	0	1	3	6	1	1	0	0	3	5	3	3	2	1	2	3	2	0	0	1	0	0	1	3	0	2	1	0	1	1	2	0	1	1	1	0	2	3	0	1	0	1	0	0	2	1	3	1	0	1	2	2	0	1	2	1	0	1	0	1	2	2	3	0	0	2	2	0	2	0	1	1	2	1	1
Bacillaceae	F	5333	5392	5195	5356	5315	5322	5271	5402	5330	5332	5235	5339	5271	5389	5339	5312	5380	5381	5237	5179	5293	5336	5299	5369	5403	5303	5470	5306	5254	5259	5368	5309	5306	5333	5109	5271	5274	5332	5258	5283	5474	5388	5333	5239	5389	5247	5277	5353	5361	5244	5281	5284	5308	5279	5412	5368	5256	5311	5201	5302	5383	5300	5321	5398	5329	5181	5207	5289	5171	5294	5300	5371	5357	5310	5350	5318	5335	5328	5268	5398	5314	5334	5234	5158	5455	5445	5227	5094	5319	5413	5351	5336	5338	5222	5162	5368	5369	5136	5362	5190
Staphylococcaceae	F	2749	2802	2732	2788	2738	2783	2794	2757	2784	2785	2730	2740	2716	2755	2778	2691	2700	2699	2730	2776	2740	2702	2786	2744	2796	2781	2686	2714	2650	2788	2759	2756	2805	2719	2820	2767	2793	2747	2829	2729	2687	2683	2774	2755	2764	2861	2740	2587	2732	2801	2744	2723	2818	2688	2796	2726	2801	2800	2831	2706	2648	2732	2780	2886	2724	2763	2833	2792	2782	2869	2778	2759	2615	2737	2698	2750	2795	2771	2811	2651	2804	2757	2789	2776	2704	2720	2815	2775	2826	2774	2808	2710	2714	2764	2854	2653	2748	2847	2710	2672
Paenibacillaceae	F	0	6	0	1	3	3	3	3	0	1	0	2	3	4	1	0	4	1	3	0	7	3	1	3	4	5	0	1	5	0	2	3	3	3	4	1	3	2	0	2	3	3	2	2	0	2	3	3	1	3	3	6	1	4	1	0	1	5	3	2	1	5	1	3	1	2	4	1	3	2	6	2	0	2	1	2	4	5	1	1	0	3	1	3	1	3	0	1	2	4	0	4	3	3	3	2	0	3	3	3
Listeriaceae	F	1060	1134	1103	1126	1133	1153	1138	1109	1124	1159	1063	1140	1137	1203	1140	1166	1116	1087	1180	1103	1135	1130	1151	1131	1095	1149	1141	1107	1099	1115	1138	1083	1160	1037	1164	1158	1101	1199	1082	1127	1027	1162	1145	1109	1133	1132	1169	1095	1123	1140	1182	1149	1115	1179	1164	1105	1120	1168	1139	1163	1128	1124	1120	1116	1181	1082	1108	1194	1194	1143	1073	1093	1150	1142	1168	1120	1129	1241	1127	1111	1146	1176	1142	1122	1137	1175	1070	1128	1187	1142	1080	1114	1091	1085	1204	1105	1144	1182	1148	1157
Carnobacteriaceae	F	5	7	5	2	3	6	4	6	3	3	9	4	5	3	2	5	4	2	7	7	6	9	6	4	7	8	1	1	9	12	3	5	7	9	4	7	6	5	6	2	3	6	4	1	5	5	7	6	7	8	5	5	6	4	2	6	2	3	3	6	2	5	6	6	5	4	5	3	4	4	7	13	9	6	8	6	5	6	4	0	5	4	3	4	9	8	5	6	7	12	5	3	4	3	7	7	5	8	7	4
Lactobacillaceae	F	1369	1359	1345	1382	1388	1370	1379	1366	1435	1416	1363	1420	1441	1357	1375	1320	1360	1424	1407	1359	1410	1380	1378	1325	1326	1345	1276	1339	1404	1417	1359	1407	1311	1354	1446	1381	1424	1307	1424	1462	1404	1343	1383	1385	1351	1380	1369	1386	1405	1368	1340	1374	1340	1361	1370	1414	1362	1332	1339	1355	1357	1409	1372	1288	1356	1447	1464	1377	1409	1368	1408	1325	1352	1408	1360	1376	1340	1359	1363	1390	1365	1330	1377	1402	1371	1342	1381	1392	1321	1319	1371	1350	1387	1382	1436	1411	1324	1392	1321	1424
Streptococcaceae	F	33	45	34	35	31	37	41	34	22	31	33	30	25	44	39	46	36	29	40	29	36	38	33	34	36	37	41	37	38	40	25	43	26	35	28	32	31	38	47	32	36	41	36	40	37	32	32	37	30	42	41	35	33	30	38	39	24	31	29	27	42	35	42	35	31	37	36	39	31	41	35	39	49	35	36	32	33	31	31	34	36	23	34	29	35	50	34	39	37	23	31	37	28	30	36	38	30	34	30	40
Enterococcaceae	F	856	872	901	851	847	881	861	849	842	914	851	850	833	911	857	890	912	880	871	855	845	888	861	876	850	890	858	839	888	881	864	864	836	878	869	836	859	819	836	897	844	810	899	873	860	933	881	866	819	849	843	868	852	858	843	889	920	894	923	864	831	862	850	848	929	876	845	903	864	830	838	890	854	836	883	884	850	860	900	854	832	877	857	922	833	860	828	870	910	827	857	883	876	865	896	888	827	835	879	858
Planococcaceae	F	8	2	8	10	8	1	7	7	4	9	9	7	5	2	9	7	6	3	5	8	9	7	4	5	6	9	6	7	9	7	7	4	5	9	3	6	9	9	8	2	5	9	7	6	5	4	6	5	4	3	4	6	8	9	8	11	7	6	6	5	2	7	4	7	5	5	7	7	3	11	7	6	7	12	6	6	8	10	5	8	6	11	6	5	7	1	3	11	6	8	8	9	11	8	4	8	5	11	6	6
Aerococcaceae	F	0	0	0	0	0	1	0	1	3	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	2	0	1	1	1	0	0	1	1	2	0	1	0	0	0	0	1	1	1	2	1	0	0	0	1	1	3	0	1	0	0	0
Leuconostocaceae	F	1	0	2	0	3	0	1	0	3	1	2	1	0	0	2	0	1	2	1	1	0	1	2	4	2	0	1	3	1	3	1	0	1	1	1	1	0	3	1	3	2	0	0	2	0	2	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	3	1	0	3	1	1	1	1	2	1	4	1	1	0	2	2	1	1	1	1	1	2	1	3	0	3	1	2	2	1	2	0	2	0	4	0	0
