name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Acetobacteraceae	F	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Azospirillaceae	F	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Burkholderiaceae	F	28	36	33	39	28	23	23	35	33	30	30	26	30	37	28	35	25	31	26	26	28	29	25	39	30	29	36	31	18	25	31	30	26	23	21	35	29	23	26	40	35	41	27	24	36	28	42	33	20	25	23	28	25	26	25	20	32	36	24	25	27	27	29	24	25	33	36	32	32	32	30	27	31	30	30	29	23	29	28	24	30	31	29	31	28	37	25	24	23	27	34	24	28	20	28	25	30	33	30	31
Methylophilaceae	F	0	1	1	1	1	0	5	1	0	0	0	1	2	1	3	4	1	1	3	0	2	0	0	1	0	1	0	1	0	0	2	3	2	0	0	2	0	0	2	4	1	0	1	1	0	1	2	0	0	2	0	1	0	1	3	1	0	1	0	1	1	1	0	0	1	1	0	2	0	1	2	1	2	0	0	2	1	0	0	1	1	1	3	4	0	1	1	2	1	0	1	0	0	0	0	0	1	1	0	1
Rhodocyclaceae	F	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	1	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	2	1	0	2	0	0	0	0
SC-I-84	F	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Nitrosomonadaceae	F	0	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0
Neisseriaceae	F	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Chitinibacteraceae	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Xanthomonadaceae	F	0	1	2	1	1	2	0	0	0	0	0	1	1	2	0	0	2	0	1	1	0	1	1	1	0	1	0	3	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	2	2	0	2	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	3	0	1	0	0	0	0	1	1	1	0	0	0	0	1
Rhodanobacteraceae	F	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
Enterobacteriaceae	F	18598	18585	18539	18682	18660	18638	18607	18655	18626	18531	18664	18589	18556	18605	18554	18704	18729	18510	18575	18620	18650	18782	18514	18617	18665	18716	18512	18515	18668	18627	18688	18797	18693	18543	18590	18630	18477	18539	18663	18723	18578	18658	18710	18595	18644	18725	18612	18682	18646	18452	18509	18557	18659	18641	18656	18639	18593	18582	18628	18608	18610	18572	18752	18475	18674	18658	18742	18592	18586	18533	18758	18636	18684	18555	18801	18747	18660	18754	18716	18663	18636	18585	18686	18567	18547	18580	18566	18691	18665	18472	18465	18626	18544	18618	18664	18559	18693	18696	18669	18590
Pseudomonadaceae	F	171	193	175	195	188	215	190	193	190	199	209	223	211	169	196	190	194	230	204	189	171	190	195	214	203	190	185	190	181	199	208	175	189	200	200	199	209	175	189	184	198	187	203	213	207	187	219	217	200	202	197	210	191	212	192	196	186	191	191	201	196	191	206	206	188	197	192	180	192	213	217	205	206	181	180	218	177	199	190	214	190	203	183	219	213	193	210	180	202	209	218	203	216	198	187	198	179	207	180	179
Moraxellaceae	F	0	1	1	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0
Diplorickettsiaceae	F	1	1	2	4	0	1	2	1	1	1	1	1	2	2	2	1	1	1	2	0	0	1	3	0	3	2	2	0	1	1	2	3	2	4	1	0	1	1	0	4	1	3	1	2	1	1	5	0	1	0	0	3	1	3	4	3	0	4	3	0	1	4	1	2	1	1	2	2	0	5	1	0	0	3	2	0	3	1	1	1	0	2	2	2	0	3	0	2	1	1	1	0	3	0	2	1	0	3	1	3
Aeromonadaceae	F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	2	0	2	0	0	0	1	0	0	1	0	1	4	0	0	0	0	1	1	0	0	2	1	0	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	0	1	2	1	1	1	1	2	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1
Legionellaceae	F	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0
