readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
cb702128-8106-4339-8ac0-5ce7fe775194	unclassified	0	0	0	0	1519	1
9541d721-e51d-4811-8a4e-d3054808d47d	unclassified	0	0	0	0	1413	1
c54fe9b8-627c-45a7-8ec0-81500b764844	unclassified	0	0	0	0	1454	1
63cf6ed3-963f-4e8f-9fc1-42ea965d130b	unclassified	0	0	0	0	1446	1
6687a2b3-8ee3-4e71-8b00-84158790c1b2	unclassified	0	0	0	0	1382	1
ff5aa7c6-1085-46a0-9714-4fee0a1fdf40	unclassified	0	0	0	0	1439	1
15b5f1ef-56cb-46c0-834e-54d77ebe073e	unclassified	0	0	0	0	2957	1
67289fe9-41f4-46f5-b70f-1179bc4bbddc	unclassified	0	0	0	0	1473	1
de3b2866-70a7-4e9c-bd7d-6b491db3e9f3	unclassified	0	0	0	0	1398	1
a1ddabed-23ef-4afa-b019-8bd5f1956d0a	genus	26880	64	64	23	2617	4
a1ddabed-23ef-4afa-b019-8bd5f1956d0a	FQ658913.1.1353	0	64	64	23	2617	4
a1ddabed-23ef-4afa-b019-8bd5f1956d0a	EU808164.1.1312	0	64	64	23	2617	4
a1ddabed-23ef-4afa-b019-8bd5f1956d0a	JN408989.1.1451	0	64	64	23	2617	4
7b4b16e2-659e-4fae-ba3a-6276e58a054b	unclassified	0	0	0	0	1435	1
bface3cc-b7f4-4fd2-8083-06434c03bf02	unclassified	0	0	0	0	1460	1
3cd10c01-2c5b-44f1-a11f-f6fa2cd1f18c	unclassified	0	0	0	0	1460	1
d7a75aa5-4ba6-42ed-b601-7391ccefa037	unclassified	0	0	0	0	1420	1
9e953308-94ca-4eb4-9aac-4d9d43162e19	unclassified	0	0	0	0	1455	1
0106534f-fd06-43e8-b617-1dd21a5ca2bb	unclassified	0	0	0	0	1441	1
7960f0be-c70c-41f8-8516-d2a8956565d3	unclassified	0	0	0	0	1477	1
ae0ee897-7566-4573-9e46-ab665ba5ba32	unclassified	0	0	0	0	1507	1
ea6ebfa5-9808-4270-9e5a-5069e50a9a50	unclassified	0	0	0	0	1444	1
1310d59f-fff8-4592-bbef-5d86a95632e5	unclassified	0	0	0	0	1416	1
fe45df80-3d84-40c4-80f6-36569392a49b	unclassified	0	0	0	0	1490	1
bfc90ed0-db3f-48b1-9cc3-2753e495817c	unclassified	0	0	0	0	1418	1
6c42cedd-ea94-43bd-b7fc-52f74ed5a185	unclassified	0	0	0	0	1462	1
3d1beac4-b894-47ba-af2b-e0c17fb3b950	unclassified	0	0	0	0	1476	1
08a97868-599e-4199-82c5-4f4319ba72f9	unclassified	0	0	0	0	1376	1
33e88321-33f2-43bc-866a-a7a12680139c	unclassified	0	0	0	0	1344	1
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	HQ400394.1.1528	2200	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	HG316991.1.1525	2032	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	KF737891.1.1425	2032	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	KX034022.1.1380	2200	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	EU794211.1.1439	11363	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	KC260426.1.1343	2058	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	KX672326.1.1394	2065	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	EU530367.1.1486	11360	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	FPLO01008178.1.1454	2186	144	144	27	1321	10
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	JQ815724.1.1453	2033	144	144	27	1321	10
ffc1a51f-a241-4a95-8f18-3c14a4b47fce	unclassified	0	0	0	0	1175	1
e0347df4-7532-4346-9ae8-c4c5036cbb1e	unclassified	0	0	0	0	1990	1
debdebf7-5a8a-4876-a907-66bc0d402c0d	unclassified	0	0	0	0	1485	1
