	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Bacteroidetes vadinHA17	7.0	2.0	0.0	0.0	18.0	22.0	21.0	0.0	0.0	1.0	22.0	0.0
Balneolaceae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Barnesiellaceae	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Bdellovibrionaceae	71.0	10.0	0.0	1.0	673.0	336.0	465.0	5.0	0.0	15.0	112.0	2.0
Beggiatoaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	0.0
Beijerinckiaceae	268.0	47.0	1.0	0.0	460.0	269.0	773.0	5.0	0.0	170.0	200.0	634.0
Betaproteobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Blastocatellaceae	4.0	0.0	0.0	0.0	18.0	14.0	11.0	0.0	0.0	4.0	4.0	0.0
Blfdi19	22.0	5.0	0.0	0.0	62.0	45.0	78.0	1.0	0.0	14.0	84.0	1.0
Brevibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Brevinemataceae	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Brocadiaceae	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Burkholderiaceae	34645.0	8432.0	26.0	57.0	308551.0	256678.0	259540.0	1424.0	34.0	39287.0	302231.0	8282.0
C2U	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0
CMW-169	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
COB P4-1 termite group	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
CR-115	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0
