V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Clostridiaceae 1	0	0	0	0	2	1	1	0	0	0	0	0	2	0	3	0	0	1	0	0	0	1	1	0	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	2	2	1	0	0	1	0	0	2	0	1	0	2	0	1	0	1	1	2	0	1	1	1	1	2	0	1	1	0	1	0	1	0	0	0
Crocinitomicaceae	1	0	0	0	0	1	0	0	0	1	1	0	2	2	2	2	0	0	0	1	2	0	1	1	1	1	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	1	2	2	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	2	0	1	1	0	2	0	2	0	0	2	0	0	1	1
Devosiaceae	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Diplorickettsiaceae	1	6	1	3	3	1	1	0	1	2	1	2	2	0	1	2	3	3	5	3	0	0	3	0	1	0	2	3	1	0	0	1	1	3	1	1	0	2	3	1	1	1	0	3	2	1	1	2	1	1	2	0	1	1	1	4	1	1	1	1	0	2	0	1	2	1	2	3	0	1	4	2	1	1	3	2	1	3	0	0	2	2	0	4	3	0	2	2	1	2	1	4	2	2	1	3	4	1	2	1
Enterobacteriaceae	22598	22547	22648	22643	22602	22625	22514	22625	22689	22440	22764	22536	22413	22562	22827	22740	22583	22587	22492	22537	22398	22677	22608	22610	22590	22504	22528	22526	22595	22646	22581	22721	22713	22582	22536	22602	22617	22626	22470	22587	22492	22630	22437	22581	22789	22620	22508	22717	22614	22669	22642	22554	22741	22507	22614	22609	22547	22549	22684	22661	22559	22560	22722	22691	22607	22497	22520	22628	22570	22561	22649	22643	22678	22641	22619	22654	22554	22486	22473	22599	22609	22429	22651	22521	22550	22613	22696	22528	22685	22588	22711	22753	22564	22659	22576	22617	22658	22617	22545	22616
Enterococcaceae	1743	1733	1795	1708	1735	1741	1757	1692	1694	1768	1782	1796	1767	1732	1751	1694	1810	1752	1706	1727	1767	1694	1722	1754	1818	1818	1781	1752	1784	1786	1710	1705	1659	1773	1762	1705	1722	1732	1749	1795	1755	1714	1683	1748	1697	1691	1723	1658	1735	1756	1693	1767	1719	1746	1663	1783	1735	1847	1782	1741	1748	1727	1692	1682	1700	1721	1792	1717	1764	1743	1692	1740	1753	1742	1716	1765	1805	1736	1757	1776	1693	1767	1744	1735	1714	1755	1772	1791	1717	1738	1726	1742	1703	1719	1657	1631	1739	1742	1755	1756
Family XII	9	8	9	2	9	4	4	6	5	5	8	8	4	6	8	6	7	5	9	7	5	14	9	8	6	6	12	9	9	6	8	5	5	9	2	6	3	11	6	5	7	5	6	6	5	9	5	8	6	9	6	14	7	6	4	11	8	7	5	9	8	8	12	3	5	10	5	13	5	9	7	9	7	6	7	9	2	4	11	8	6	5	5	4	6	8	6	4	15	7	5	6	8	13	6	14	6	4	5	6
Fibrobacteraceae	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Flavobacteriaceae	3	0	1	1	0	0	1	2	1	0	2	0	0	0	2	1	1	1	3	0	1	0	2	5	1	1	1	2	0	1	0	5	0	5	2	2	0	2	0	2	0	0	1	2	1	1	1	1	1	3	2	1	0	2	1	0	1	2	2	3	0	0	2	3	2	3	0	0	3	2	0	3	2	1	1	2	0	2	2	2	3	3	0	2	0	1	1	1	3	0	0	4	2	0	1	2	1	3	0	1
Gallionellaceae	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0
Gemmatimonadaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
Haliangiaceae	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2
Hydrogenophilaceae	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
Lachnospiraceae	0	1	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
Lactobacillaceae	1700	1654	1617	1720	1751	1692	1627	1655	1706	1693	1655	1700	1708	1753	1642	1620	1666	1672	1687	1746	1738	1676	1647	1712	1646	1680	1663	1564	1706	1745	1709	1689	1707	1837	1701	1693	1689	1709	1671	1631	1688	1692	1686	1665	1612	1687	1689	1696	1675	1572	1696	1757	1609	1694	1731	1668	1760	1677	1679	1670	1646	1696	1649	1731	1635	1721	1660	1642	1689	1655	1671	1690	1679	1722	1713	1663	1718	1693	1695	1711	1718	1662	1649	1689	1573	1714	1682	1659	1667	1633	1648	1642	1691	1704	1730	1771	1686	1766	1690	1693
Legionellaceae	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Listeriaceae	2675	2686	2712	2598	2649	2697	2565	2714	2707	2658	2654	2652	2647	2687	2642	2627	2689	2661	2774	2659	2795	2673	2724	2641	2605	2681	2606	2728	2766	2618	2724	2670	2686	2619	2720	2653	2694	2689	2679	2572	2691	2673	2674	2676	2696	2684	2735	2669	2644	2639	2721	2684	2672	2760	2782	2618	2705	2701	2676	2719	2714	2658	2673	2606	2632	2697	2647	2565	2691	2750	2635	2753	2627	2654	2631	2651	2609	2674	2691	2675	2739	2770	2676	2651	2681	2685	2647	2698	2593	2650	2635	2617	2642	2650	2640	2723	2673	2654	2652	2680
Methylophilaceae	3	1	3	3	2	1	2	1	2	0	2	0	3	2	1	4	1	4	3	4	3	0	3	2	2	4	2	3	2	2	2	1	3	4	4	1	4	5	3	3	4	2	4	2	0	3	3	3	2	4	2	5	2	2	1	2	5	2	1	3	1	2	1	1	2	2	1	3	3	2	2	1	3	2	2	3	4	6	2	1	2	1	1	4	4	2	3	4	1	3	4	5	2	2	1	1	5	0	1	1
Microbacteriaceae	6	3	7	3	5	5	3	3	4	6	4	6	3	2	3	5	9	4	2	6	6	5	4	5	3	3	4	6	6	5	9	1	6	3	11	3	2	4	7	4	5	7	0	2	3	7	4	2	6	0	5	7	6	3	7	3	3	4	3	5	7	1	7	5	3	7	4	6	3	6	1	2	3	3	1	3	2	3	1	2	2	4	4	6	1	1	2	7	2	4	6	4	2	9	4	7	3	6	5	5
Moraxellaceae	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	1	1	1	0	1
NS11-12 marine group	11	13	8	10	8	8	12	15	9	5	11	12	9	9	5	8	8	11	6	10	5	4	7	6	11	9	7	11	12	11	9	11	8	11	13	16	11	9	6	7	9	8	13	11	8	1	9	9	14	5	12	10	9	7	11	9	4	10	14	10	5	11	12	12	4	10	7	11	14	6	9	9	6	12	8	7	12	13	13	9	14	8	6	13	13	5	11	9	7	9	9	7	4	5	12	11	13	6	7	10
Nitrosomonadaceae	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	0	0	0	2	1	1	0	0	0	1	1	0	0	0
Omnitrophaceae	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Opitutaceae	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	0	0	2	0	1	0	0	0	0	2	2	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1
Paenibacillaceae	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Paracaedibacteraceae	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Pasteurellaceae	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0
Peptostreptococcaceae	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3	1	0	1	0	0	0	0	3	0	0	0	1	0	0	1	1	1	1	0	1	0	0	2	2	0	3	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	0	1	0	1	0
Planococcaceae	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	2	1	0	0	3	0	0	1	0	0	0	1	1	1	3	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	0
Pseudomonadaceae	216	262	256	274	245	262	249	249	263	264	245	235	272	271	252	272	243	261	277	252	275	274	229	257	245	256	296	264	261	264	246	251	237	280	238	274	294	239	270	305	258	253	272	246	252	266	236	247	268	246	277	281	232	273	251	274	252	258	285	254	277	259	258	277	305	232	263	258	287	252	283	257	258	254	253	253	253	275	258	246	261	253	251	251	270	245	239	289	266	262	238	273	241	247	267	283	254	273	246	241
Rhizobiaceae	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	2	1	0	1	0	0	1	0
