	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
Pontibaca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pontibacter	2.0	2.0	0.0	0.0	0.0	1.0	4.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Ponticoccus	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Populus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Porphyrobacter	1.0	0.0	2.0	7.0	9.0	2.0	6.0	6.0	3.0	1.0	6.0	14.0	28.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0
Porphyromonas	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
Porticoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
Prevotella 7	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Prevotella 9	7.0	1.0	0.0	1.0	1.0	4.0	3.0	0.0	3.0	3.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotellaceae UCG-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prochlorococcus MIT9313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Prolixibacteraceae (uncultured)	3.0	1.0	4.0	0.0	0.0	2.0	2.0	2.0	2.0	8.0	5.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Promicromonospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacteriaceae (uncultured)	0.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0
Propionicimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Propionispira	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionispora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionivibrio	3.0	0.0	7.0	2.0	0.0	0.0	1.0	5.0	0.0	3.0	1.0	0.0	22.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Prosthecobacter	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Prosthecomicrobium	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	1.0	4.0	10.0	8.0	0.0	0.0	0.0	0.0
Proteiniclasticum	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteiniphilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteocatella	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Proteus	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	2.0	0.0
Providencia	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	3.0	6.0	4.0	0.0
Pseudacidovorax	7.0	5.0	8.0	12.0	7.0	8.0	10.0	13.0	6.0	10.0	12.0	11.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0
Pseudactinotalea	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Pseudahrensia	0.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudaminobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudanabaena PCC-7429	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudarcicella	7837.0	13735.0	7598.0	1342.0	11364.0	9489.0	5377.0	4486.0	4782.0	5601.0	4626.0	850.0	1740.0	2210.0	9592.0	7047.0	14.0	8.0	6.0	11982.0
Pseudarthrobacter	2.0	1.0	4.0	1.0	8.0	3.0	2.0	7.0	0.0	4.0	2.0	0.0	0.0	7.0	20.0	21.0	0.0	0.0	0.0	0.0
Pseudoalteromonas	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudochrobactrum	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudocitrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudoclavibacter	0.0	6.0	6.0	0.0	4.0	1.0	2.0	4.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
Pseudoduganella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudofulvibacter	3.0	1.0	0.0	0.0	1.0	4.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudofulvimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudohaliea	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
Pseudohoeflea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudohongiella	3.0	0.0	8.0	3.0	0.0	2.0	3.0	1.0	0.0	3.0	4.0	0.0	107.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Pseudolabrys	3.0	3.0	0.0	8.0	6.0	1.0	11.0	6.0	5.0	1.0	3.0	5.0	36.0	5.0	4.0	4.0	0.0	0.0	0.0	0.0
Pseudomonas	158.0	50.0	110.0	190.0	20.0	71.0	163.0	74.0	85.0	42.0	36.0	29.0	2206.0	210.0	46.0	54.0	221.0	196.0	245.0	95.0
Pseudooceanicola	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudophaeobacter	0.0	0.0	4.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	2.0	3.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Pseudorhodobacter	32.0	45.0	97.0	117.0	300.0	32.0	95.0	263.0	37.0	105.0	180.0	236.0	313.0	78.0	277.0	253.0	0.0	1.0	3.0	19.0
Pseudorhodoferax	47.0	33.0	33.0	57.0	29.0	40.0	55.0	49.0	51.0	63.0	55.0	70.0	14.0	35.0	14.0	32.0	0.0	0.0	0.0	16.0
Pseudorhodoplanes	0.0	4.0	0.0	4.0	5.0	0.0	2.0	3.0	0.0	3.0	1.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Pseudoruegeria	2.0	5.0	15.0	6.0	22.0	0.0	9.0	27.0	1.0	18.0	12.0	16.0	30.0	12.0	18.0	12.0	0.0	0.0	0.0	0.0
Pseudovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudoxanthobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudoxanthomonas	3.0	5.0	2.0	32.0	2.0	2.0	2.0	18.0	11.0	2.0	5.0	6.0	8.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0
Psychrobacter	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	23.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Psychroflexus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psychroglaciecola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Puniceicoccaceae (uncultured)	1.0	0.0	0.0	9.0	0.0	9.0	7.0	11.0	19.0	19.0	12.0	0.0	9.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0
Puniceicoccus	11.0	0.0	0.0	26.0	0.0	19.0	16.0	24.0	26.0	58.0	25.0	9.0	41.0	12.0	15.0	9.0	0.0	0.0	0.0	0.0
Pusillimonas	11.0	2.0	0.0	7.0	3.0	3.0	14.0	2.0	9.0	4.0	1.0	6.0	7.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0
Qipengyuania	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Quatrionicoccus	0.0	0.0	0.0	3.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RB41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS62 marine group	3.0	3.0	2.0	7.0	1.0	5.0	6.0	7.0	7.0	7.0	4.0	8.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Rahnella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0
Ralstonia	88.0	51.0	46.0	69.0	27.0	46.0	67.0	53.0	80.0	58.0	66.0	46.0	43.0	108.0	31.0	34.0	0.0	0.0	0.0	52.0
Ramlibacter	109.0	77.0	102.0	143.0	55.0	81.0	106.0	118.0	102.0	133.0	152.0	140.0	36.0	51.0	55.0	68.0	0.0	0.0	0.0	41.0
Raoultella	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	7.0	3.0	0.0
Rathayibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Reyranella	3.0	5.0	10.0	13.0	21.0	4.0	4.0	33.0	6.0	1.0	5.0	1.0	39.0	47.0	18.0	11.0	0.0	0.0	0.0	8.0
Reyranellaceae (uncultured)	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rheinheimera	11.0	17.0	57.0	11.0	2.0	10.0	17.0	47.0	5.0	8.0	1.0	21.0	23.0	11.0	4.0	7.0	0.0	0.0	0.0	11.0
Rhizobacter	115.0	77.0	82.0	184.0	36.0	81.0	136.0	91.0	157.0	99.0	86.0	101.0	60.0	127.0	16.0	35.0	0.0	0.0	0.0	78.0
Rhizobiaceae (uncultured)	4.0	4.0	5.0	18.0	9.0	4.0	5.0	3.0	8.0	0.0	5.0	5.0	43.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0
Rhizobiales&nbsp;Incertae&nbsp;Sedis (uncultured)	3.0	20.0	40.0	54.0	131.0	4.0	36.0	212.0	23.0	96.0	125.0	88.0	169.0	49.0	244.0	245.0	0.0	0.0	0.0	91.0
Rhizomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhizorhapis	1.0	2.0	3.0	4.0	5.0	2.0	4.0	3.0	6.0	0.0	1.0	15.0	24.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Rhodanobacter	3.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0
Rhodanobacteraceae (uncultured)	5.0	8.0	15.0	64.0	4.0	5.0	21.0	22.0	19.0	16.0	13.0	19.0	23.0	121.0	14.0	14.0	0.0	0.0	0.0	0.0
Rhodobaca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodobacter	137.0	105.0	381.0	509.0	539.0	123.0	308.0	510.0	136.0	206.0	394.0	609.0	1150.0	475.0	655.0	675.0	1.0	0.0	2.0	74.0
Rhodobacteraceae (uncultured)	67.0	106.0	221.0	285.0	486.0	56.0	177.0	454.0	65.0	203.0	279.0	399.0	650.0	221.0	466.0	445.0	0.0	0.0	0.0	48.0
Rhodobaculum	0.0	1.0	0.0	3.0	3.0	1.0	0.0	4.0	2.0	1.0	1.0	0.0	7.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Rhodoblastus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodococcus	0.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodocyclaceae (uncultured)	15.0	24.0	13.0	50.0	8.0	14.0	25.0	37.0	40.0	18.0	13.0	12.0	99.0	209.0	4.0	5.0	0.0	0.0	0.0	0.0
Rhodocyclus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodocytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodoferax	1893.0	1431.0	2112.0	2877.0	1194.0	1557.0	2673.0	1794.0	2210.0	2103.0	2140.0	3994.0	749.0	1240.0	510.0	871.0	2.0	4.0	2.0	756.0
Rhodoglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodoluna	19.0	240.0	444.0	31.0	438.0	29.0	36.0	235.0	29.0	150.0	220.0	48.0	11.0	14.0	166.0	149.0	0.0	1.0	0.0	329.0
Rhodomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodopirellula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Rhodoplanes	0.0	1.0	0.0	6.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	6.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
Rhodopseudomonas	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	10.0	1.0	4.0	0.0	0.0	0.0	0.0	13.0
Rhodospirillaceae (uncultured)	1.0	2.0	3.0	2.0	6.0	0.0	1.0	7.0	3.0	2.0	6.0	0.0	11.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Rhodothermaceae (uncultured)	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Rhodovastum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodovulum	1.0	6.0	14.0	22.0	15.0	2.0	7.0	18.0	2.0	9.0	24.0	24.0	48.0	20.0	32.0	35.0	0.0	0.0	0.0	0.0
Rickettsia	1.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	3.0	2.0	1.0	0.0	6.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Rickettsiaceae (uncultured)	5.0	0.0	0.0	0.0	1.0	3.0	5.0	8.0	8.0	3.0	6.0	4.0	23.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Rickettsiella	56.0	249.0	161.0	44.0	101.0	39.0	46.0	621.0	30.0	490.0	372.0	348.0	380.0	44.0	30.0	32.0	0.0	2.0	2.0	393.0
Rikenellaceae (uncultured)	10.0	0.0	3.0	1.0	2.0	4.0	5.0	0.0	7.0	7.0	1.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0
Rikenellaceae RC9 gut group	8.0	2.0	0.0	3.0	5.0	10.0	8.0	2.0	5.0	4.0	2.0	0.0	3.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0
Rivibacter	4.0	2.0	3.0	2.0	0.0	2.0	2.0	3.0	7.0	1.0	4.0	3.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
Rivicola	12.0	4.0	12.0	17.0	15.0	7.0	9.0	4.0	9.0	1.0	0.0	0.0	122.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0
Rivularia PCC-7116	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Romboutsia	9.0	14.0	25.0	18.0	97.0	9.0	3.0	76.0	15.0	56.0	53.0	32.0	6.0	93.0	43.0	61.0	0.0	0.0	0.0	366.0
Roseateles	11.0	10.0	14.0	32.0	1.0	9.0	11.0	16.0	13.0	15.0	12.0	25.0	11.0	25.0	0.0	7.0	0.0	0.0	0.0	5.0
Roseburia	11.0	0.0	0.0	13.0	0.0	9.0	7.0	0.0	6.0	7.0	4.0	0.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0
Roseiarcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseibaca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
