V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Escherichia-Shigella	11883	11888	11744	11778	11871	11794	11801	11889	11733	11857	11831	11779	11865	11823	11727	11878	11853	11864	11674	11705	11735	11583	11730	11722	11850	11810	11837	11815	11786	11851	11772	11852	11833	11765	11866	11768	11803	11776	11794	11728	11696	11538	11697	11802	11862	11633	11783	11782	11787	11807	11755	11712	11815	11733	11729	11989	11817	11765	11739	11880	11688	11671	11940	11824	11921	11776	11831	11802	11795	11722	11810	11782	11798	11914	11788	11842	11862	11983	11876	11852	11651	11665	11907	11701	11825	11709	11749	11824	11943	11857	11901	11805	11873	11697	11773	11718	11680	11673	11761	11802
Exiguobacterium	5	4	6	2	0	4	5	4	4	4	10	2	4	3	5	7	3	6	6	3	0	3	5	6	5	5	5	2	4	6	2	4	2	4	6	4	8	3	5	8	4	6	5	2	5	5	2	4	2	2	5	4	3	5	4	2	5	6	6	4	6	3	4	5	3	2	4	6	3	2	6	3	2	7	2	4	3	2	1	3	5	4	4	3	6	3	5	9	5	2	6	7	0	4	4	4	5	5	7	1
Ferribacterium	0	0	1	0	3	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	1	0	0	1	0	0	0	1	3	0	0	2	1	2	1	1	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	1	2	0	1	0	1	2	1	0	0	1	1	0	2	1	1	0	0	2	1	0	0	1	0	0	0	0	1	0	1	1	2	3	0	1	1	1	0	2	3	0	1
Flavobacterium	2	1	1	1	2	4	0	3	0	2	2	3	1	4	2	3	4	2	1	4	1	1	0	3	0	2	1	1	2	2	3	0	2	0	0	0	1	2	3	2	3	5	2	0	2	0	1	0	0	1	0	0	1	3	0	4	2	3	2	0	4	1	1	1	2	2	3	1	1	2	5	0	1	1	1	3	1	1	0	2	2	4	0	4	1	2	0	2	1	1	0	4	0	0	1	3	4	0	0	2
Franconibacter	2	3	2	2	1	1	0	2	1	2	2	3	0	2	0	4	2	1	2	2	0	1	4	2	0	1	0	2	3	1	0	0	5	2	1	1	0	2	0	3	2	2	0	1	3	1	0	0	1	0	0	1	1	4	2	2	1	0	3	2	0	3	0	0	0	0	0	2	1	1	2	0	1	3	1	4	3	0	2	1	1	2	1	1	3	0	1	1	1	4	2	3	3	1	1	1	1	4	3	1
Granulicatella	24	27	13	18	21	22	22	17	20	19	18	20	22	13	24	11	24	17	13	21	7	13	15	29	13	15	26	19	23	20	16	22	12	25	22	22	22	13	23	25	20	27	16	15	18	20	16	18	17	12	27	18	18	12	19	21	16	22	19	16	20	17	23	17	10	17	21	26	24	18	16	20	23	20	24	25	17	13	24	19	21	26	16	20	9	26	23	22	19	25	22	12	16	22	19	16	19	24	20	19
Hydrogenophaga	0	1	1	1	0	0	2	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	2	0	0	1	1	0	1	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2	1	1	1	0	0	2	0	0	1	1	1	0	2	0	1	1	0	1	1	1	0	0	0	0
Klebsiella	39	50	36	46	30	42	31	40	41	29	30	28	36	48	38	33	35	42	36	38	33	37	35	33	43	40	48	39	27	40	25	37	38	34	47	35	38	38	44	41	44	36	37	35	46	46	40	38	33	43	23	44	31	42	51	43	33	34	42	50	33	41	33	37	42	43	35	42	27	50	29	42	40	34	34	42	33	35	44	40	34	37	43	37	36	34	33	33	52	31	29	47	50	43	29	37	44	44	39	36
Kluyvera	4	3	3	4	3	3	3	3	2	2	0	4	1	3	3	1	4	2	4	0	4	5	3	1	4	4	3	3	2	3	4	0	2	3	2	2	3	5	3	0	1	0	2	1	1	0	0	1	3	1	1	2	4	1	1	2	2	3	4	0	5	2	4	2	4	3	3	4	3	5	2	0	1	6	0	7	4	1	1	4	5	3	1	2	3	2	1	5	5	2	3	1	5	1	7	1	2	5	3	1
Kosakonia	12	9	15	11	10	15	11	9	12	10	9	11	4	12	12	6	10	13	14	6	13	14	7	10	12	7	16	15	9	17	4	13	8	10	13	13	13	9	12	10	7	8	9	11	11	17	10	10	8	10	9	10	9	6	6	7	11	15	12	9	10	15	16	13	14	12	12	13	8	6	10	11	8	11	10	8	11	9	11	6	16	9	10	13	8	11	10	6	17	10	6	5	8	11	6	10	9	11	5	8
