	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
f8252e95-b2e8-437e-84d1-0aa9e3b1b4f8	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f82c7a02-db6b-49ca-b2b3-8561e6114211	Listeriaceae	Listeriaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Listeriaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f8309852-096c-4522-9e28-52b20f300cd0			Staphylococcaceae											
f8373e7f-b0db-4275-a635-9b3cf6c34f62	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f8378671-69c5-40b4-ad6a-d131a0c2c802	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8387d53-2519-4c6b-8b94-cf6b921f4aa3			Dikarya											
f83b4542-0922-4c52-968b-eb4fe2e4cf80			Bacillaceae											
f83ede4b-ee58-4a7a-a5eb-c496db703c64			Enterobacteriaceae											
f843e0ba-ffdf-4ac5-b2fe-96f42f2699df			Enterobacteriaceae											
f8441ef3-a5c8-4f6a-8e75-d3bd3b9cd185			Dikarya											
f84468f0-ea6c-49f0-867a-9483d50f4978	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f846dc08-14cc-43f1-b99e-35b709d0d2a7			Dikarya											
f848d45c-0098-49b5-8b5e-b1e0e055df23	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f84ae361-edb8-44c0-8e08-c31e10872630	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f84c4dde-33a4-4876-8b37-0a820488ee4c			Dikarya											
f84d20c2-f438-4d48-b281-ec038a2f140d	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f85075b7-ab01-48ea-aae7-12a2fd52b01c	Enterococcaceae	Enterococcaceae		Dikarya	Enterococcaceae	Bacillaceae	Bacillaceae	Enterococcaceae		Enterococcaceae	Carnobacteriaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
