name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Polaromonas	G	1	1	3	0	0	0	1	2	0	2	1	0	2	3	0	0	1	2	2	1	0	3	2	2	1	1	0	0	1	0	1	1	1	2	0	2	0	1	1	2	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	3	3	1	1	1	0	1	2	1	1	2	2	0	1	2	2	0	0	1	0	3	0	1	2	1	4	0	1	3	0	1	0	1	2	1	0	0	1	2	1	0	1
Methylophilaceae (uncultured)	G	1	0	2	2	1	0	4	0	2	4	1	3	1	0	3	0	2	1	1	0	2	3	2	2	1	0	0	0	0	4	0	0	1	2	2	1	1	1	0	3	2	0	2	0	2	0	0	1	2	4	1	1	2	0	1	0	2	2	1	0	1	3	0	2	2	4	5	1	0	0	1	1	5	3	0	2	1	2	1	1	1	3	2	1	3	3	2	2	1	2	2	3	1	1	3	2	1	0	3	6
Escherichia-Shigella	G	16180	16265	16190	16163	16309	16117	16202	16117	16129	16071	16347	16156	16217	16330	16128	16160	16087	16372	16081	16157	16083	16172	16171	16006	16083	16259	16282	16220	16113	16184	16174	16215	16145	16160	16048	16112	16234	16139	16272	16106	16406	16175	16335	16125	16137	16215	16214	15957	16275	16110	16091	16148	16132	16129	16083	15983	16019	16198	16243	16179	16187	16122	15994	16176	16240	16147	16096	16131	16141	16287	16208	16175	16207	16201	16253	16274	16078	16105	16314	16347	16289	16281	16059	16106	16207	16229	16366	16086	16121	16144	16124	16121	16102	16125	16178	16140	16105	16159	16208	15925
Enterobacter	G	642	616	626	634	598	670	649	606	639	633	609	635	618	605	654	633	637	611	596	632	639	645	657	631	609	628	625	623	642	624	669	645	648	624	689	657	648	667	646	610	644	634	631	619	622	643	643	644	623	632	635	647	682	629	667	671	585	665	633	598	639	613	685	659	644	621	675	657	620	660	634	582	649	641	646	665	646	692	637	698	661	631	624	630	612	638	637	636	672	653	644	658	641	648	633	631	661	594	599	706
Salmonella	G	216	220	228	241	233	245	234	222	238	222	225	235	237	233	240	227	235	204	220	216	235	226	216	205	231	242	231	224	234	235	236	230	227	244	222	235	215	246	261	244	244	216	252	224	240	224	254	235	239	214	248	232	233	237	216	211	227	204	234	213	243	229	232	240	240	223	228	248	218	219	245	232	258	233	239	229	249	202	228	221	210	226	239	229	213	251	219	222	225	226	225	238	241	238	252	232	251	213	206	207
Serratia	G	56	69	57	63	55	56	61	62	74	51	80	51	77	59	73	62	77	52	75	62	65	54	50	52	79	66	65	64	69	66	66	59	58	63	66	75	67	49	56	58	60	62	57	54	52	56	71	65	69	62	71	49	62	75	65	63	53	70	56	74	61	60	62	64	68	69	65	57	66	79	82	64	75	56	44	46	68	67	46	53	51	65	69	56	65	50	70	60	64	71	59	71	59	63	58	55	70	73	77	65
Pantoea	G	77	64	70	70	58	65	65	67	62	70	59	60	60	52	71	85	53	74	71	62	59	69	68	75	70	60	70	62	75	65	54	70	64	50	51	63	49	60	64	63	68	71	69	70	69	50	69	69	60	74	69	71	76	64	73	67	74	68	58	52	69	58	59	58	57	60	59	73	52	58	67	73	77	53	68	71	74	66	62	68	66	58	72	74	75	86	60	64	92	61	49	61	63	65	76	65	57	66	54	55
Citrobacter	G	70	63	67	59	62	73	78	68	89	68	62	77	69	65	79	67	78	70	73	76	74	70	71	74	74	73	71	72	66	67	82	69	69	59	64	67	85	64	81	72	73	82	80	76	65	75	72	75	65	78	63	72	75	65	73	66	73	69	69	73	60	64	58	56	74	67	57	56	71	65	79	64	71	78	66	71	80	81	79	64	70	63	76	64	70	75	83	78	74	57	79	81	61	70	65	70	64	69	63	68
Klebsiella	G	113	134	135	145	122	139	117	144	132	138	119	113	115	143	150	116	142	132	123	138	123	124	133	137	132	132	130	136	118	112	134	125	131	139	139	117	123	121	135	109	121	127	134	98	140	129	121	134	135	145	139	130	135	122	123	158	166	135	143	130	126	120	152	130	142	131	124	142	131	126	131	116	113	143	139	132	144	134	111	144	143	129	117	110	139	140	141	122	114	129	145	143	136	140	137	151	121	128	141	125
Erwinia	G	10	8	5	9	2	5	4	9	5	7	4	8	8	8	7	11	7	11	7	9	11	5	2	5	7	5	4	8	9	7	5	6	8	5	10	8	5	6	4	8	7	10	1	8	6	4	6	9	11	7	5	2	7	14	5	7	5	3	5	7	9	5	6	4	4	8	9	8	4	6	5	5	5	8	3	6	2	6	6	9	5	8	8	6	6	6	7	5	7	10	8	3	9	4	10	1	10	6	8	4
