name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Rhizobiales&nbsp;Incertae&nbsp;Sedis (uncultured)	G	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Bradyrhizobium	G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1
Xanthobacteraceae (uncultured)	G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rickettsia	G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1
Paracaedibacteraceae (uncultured)	G	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Niveispirillum	G	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Limnohabitans	G	0	3	2	4	4	2	6	5	6	6	7	5	2	2	8	7	1	0	2	1	7	4	5	3	4	6	4	7	1	5	3	5	3	5	8	2	3	4	1	2	3	1	7	5	6	4	7	9	6	7	3	6	8	6	3	4	1	3	4	5	7	7	2	9	3	3	2	3	7	7	6	6	3	7	4	2	8	5	4	5	2	3	3	2	3	6	6	5	3	2	5	5	3	3	3	4	3	10	6	9
Rhodoferax	G	4	0	4	4	4	2	1	0	1	3	3	3	5	1	2	3	4	4	1	2	2	2	3	1	3	4	2	0	1	2	2	4	2	2	2	5	1	3	2	0	2	1	2	3	4	2	3	3	5	2	3	5	2	1	1	4	5	0	1	6	3	1	3	3	3	1	1	4	5	0	1	1	4	3	4	6	1	3	1	4	3	1	3	3	0	5	8	4	9	2	5	2	1	1	2	6	3	3	2	0
Comamonas	G	2	5	3	5	2	2	6	3	2	2	3	1	4	5	1	4	5	1	4	1	2	4	4	3	3	1	7	4	4	2	1	6	6	5	0	2	4	1	3	3	0	2	2	1	6	2	2	4	2	4	2	2	5	4	7	3	2	1	2	3	6	1	3	4	1	2	2	4	2	4	1	2	5	1	3	3	3	2	4	2	2	2	2	2	2	2	4	1	6	2	4	2	3	3	3	1	3	3	5	0
