readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
0a123f99-aeac-4183-86fe-7ca830191fb5	unclassified	0	0	0	0	1697	1
96666949-2c9f-45e6-a390-92bc825a7661	unclassified	0	0	0	0	2904	1
6f2f5d28-eed9-4467-8dff-2f26af6becda	unclassified	0	0	0	0	1120	1
560ba508-6532-49c4-baa6-cef1713a392e	unclassified	0	0	0	0	1195	1
d43649ad-7d9d-4636-8d59-898d120fc751	unclassified	0	0	0	0	1600	1
f8450614-de4f-4833-a921-df942d25d7e4	unclassified	0	0	0	0	1451	1
5e1cd8f4-b6c5-4d20-9e18-5dd5e8113a9d	unclassified	0	0	0	0	1393	1
c4177496-9455-43f9-9125-bb28966e9c98	unclassified	0	0	0	0	4757	1
31a846b7-3191-4e66-9803-6e5fd68c0e7c	unclassified	0	0	0	0	2479	1
da092ec2-e075-4cae-83b7-bf34ae8c868f	unclassified	0	0	0	0	1482	1
a833e856-2772-41c3-8bc1-462d7576b1c7	unclassified	0	0	0	0	1169	1
2dfbf469-08ab-40f3-8874-21372a9d3d09	unclassified	0	0	0	0	1045	1
256f1895-662d-433c-9a86-ddb6fa6b3bfa	unclassified	0	0	0	0	3630	1
77a6499e-8076-49c4-9718-78fe67b57800	unclassified	0	0	0	0	4612	1
cb3dcfca-b9af-47be-a420-a5dc75b33cf0	unclassified	0	0	0	0	2197	1
42c73b7c-74bc-493f-bb75-bac141467a55	unclassified	0	0	0	0	1391	1
7d5fde57-bb41-4506-8ab2-f9039032e41b	unclassified	0	0	0	0	1481	1
fae30dec-8be7-44f5-a3e2-bef9c2ee5662	unclassified	0	0	0	0	1339	1
01ddb26d-054f-45b2-a622-9341fe7c3525	unclassified	0	0	0	0	3743	1
d7ed9e11-e161-4c52-bf01-546e673ad35d	unclassified	0	0	0	0	2036	1
9d5989a8-0e44-487d-82b1-230b0cc4e130	unclassified	0	0	0	0	1324	1
955f593b-b8d1-4ef6-a907-083825db32b5	unclassified	0	0	0	0	1872	1
a46a2ee4-c78c-418d-9a12-f5bc3f11b3a1	unclassified	0	0	0	0	1413	1
6e6c1970-927a-4a21-b919-a60f850d0f56	unclassified	0	0	0	0	4656	1
03448aa5-af8b-4b4c-bccf-59d333af11cf	unclassified	0	0	0	0	1430	1
e75ceb82-368b-4f57-acfd-c1931d945198	unclassified	0	0	0	0	1414	1
c2cede0b-47e6-4977-8c58-c62fb0b49428	unclassified	0	0	0	0	1410	1
f8085fe1-6267-464e-94c8-45fe568f9ed8	unclassified	0	0	0	0	3542	1
1c493968-3dd6-40d0-941d-218da9418778	unclassified	0	0	0	0	1793	1
7000bf55-63fa-42d2-813d-e8f04441021c	unclassified	0	0	0	0	5318	1
33fb743b-36de-411f-9ff2-0f0248e69f25	unclassified	0	0	0	0	1435	1
e586f0a6-94c2-4920-bc80-fa320f28eab0	unclassified	0	0	0	0	1512	1
e02932ed-a80e-44a6-bda1-90ac1ff20fee	unclassified	0	0	0	0	1483	1
7cfdd72b-f9fb-42c6-a10f-77d019faf5b9	unclassified	0	0	0	0	1931	1
6a98f5ab-6ca4-4418-abdf-410d0bc4d013	unclassified	0	0	0	0	1471	1
ef6666e5-9f58-41e0-9863-625f04624020	unclassified	0	0	0	0	4908	1
6b6f4297-e4a0-4fc3-91ba-058a3d83f70e	unclassified	0	0	0	0	2311	1
0212cda6-31e8-4b3d-8300-bf908c03fd28	unclassified	0	0	0	0	1470	1
f0a23f0d-2ff0-4e08-aee7-25c18999e409	unclassified	0	0	0	0	1613	1
dc6db14b-4ba0-4639-b80c-26ef2c166d2a	unclassified	0	0	0	0	1519	1
a7fbfa5e-ce55-4663-8fa3-b34914496275	unclassified	0	0	0	0	1351	1
d3a377c7-7917-429c-bcbb-6aa5ab13a6d0	unclassified	0	0	0	0	1406	1
ceebca36-6b66-4f05-862c-d75d995906a0	unclassified	0	0	0	0	1051	1
eb3c1129-6bf2-4886-8307-3b5c00fae81e	unclassified	0	0	0	0	1586	1
726c2a2c-6fc8-46f9-8ab7-64953ecb4a8d	unclassified	0	0	0	0	1460	1
f95f3f9a-6c5f-43ca-a830-6c904e83cd7b	unclassified	0	0	0	0	1332	1
e1c63227-1037-42cf-b939-dc15b1127f5f	unclassified	0	0	0	0	1465	1
691c9d7d-493d-4aa3-849b-f8fb0535fe7f	unclassified	0	0	0	0	5493	1
cb93bb92-1d46-4261-9628-8064778550d3	unclassified	0	0	0	0	1604	1
fc12b518-64d6-45f3-875f-98d47317a98b	unclassified	0	0	0	0	1650	1
98cb36ee-2884-4c7f-b236-a28c06e95ab0	unclassified	0	0	0	0	1058	1
3d6d300e-61de-46d3-901c-b23b5a090577	unclassified	0	0	0	0	4899	1
c915b012-b3de-46a4-a0e2-670fe8007102	unclassified	0	0	0	0	1164	1
0e1ef026-b335-4634-8709-b2466a639bc2	unclassified	0	0	0	0	1420	1
16cd2cbf-4db3-4282-a046-bd61608c2937	unclassified	0	0	0	0	1431	1
0cced48d-0289-4874-a076-aac5ee2f8335	unclassified	0	0	0	0	1367	1
c8c8553c-699c-4237-bf4d-cc048da60db9	unclassified	0	0	0	0	1155	1
486858c6-ca97-40f4-9c7d-58c84fccd949	unclassified	0	0	0	0	1449	1
a1f40a0d-d26b-4125-8817-8fb183df84fe	unclassified	0	0	0	0	1944	1
4903e979-a0ed-4769-a33a-ae91e370547d	unclassified	0	0	0	0	2825	1
5d625d10-0fa0-416b-a4d1-8fa58d8d87d5	unclassified	0	0	0	0	1443	1
122e5fe0-f2a5-4516-8b64-7fff60db2267	unclassified	0	0	0	0	1032	1
17c2f478-65ea-4b38-bfec-6e2058f1c630	unclassified	0	0	0	0	1084	1
2370caa6-89e1-4ebf-939a-6dd3f69c78d0	unclassified	0	0	0	0	1487	1
e83122c0-4070-4574-b52f-bd815696a3ee	unclassified	0	0	0	0	1704	1
86483407-aa1f-4e72-9536-c280963f955c	unclassified	0	0	0	0	1476	1
eaa00fa2-5ba8-469f-a110-1439b7bf00e5	unclassified	0	0	0	0	2373	1
0f92b268-bf75-4f8e-8d47-2b7f73584654	unclassified	0	0	0	0	1544	1
c6cde0fc-d862-4cf9-9f80-9cdd1a2990e5	unclassified	0	0	0	0	1489	1
5650cdfc-d1b6-4074-a89d-f81c84fed18b	unclassified	0	0	0	0	1415	1
fb1f4cf9-81fd-44b6-99c3-b2a0e23bbe2d	unclassified	0	0	0	0	1573	1
86a20806-2c0e-424a-bc43-0740577226af	unclassified	0	0	0	0	2124	1
9822bef8-8948-48f4-835c-d63b6ab42168	unclassified	0	0	0	0	1557	1
cd5235f9-1ac1-4503-89b6-181c2a013a68	unclassified	0	0	0	0	1483	1
8862ab7e-eef9-4331-b1c9-9a24962bfc7c	unclassified	0	0	0	0	3315	1
1dfbe91d-38db-42fb-a9a5-65e5ecaec490	unclassified	0	0	0	0	1845	1
4793fe60-b91d-4858-a20e-4c490f8920a1	unclassified	0	0	0	0	1461	1
4a879a52-e225-42e7-bfd9-d95d99108978	unclassified	0	0	0	0	1907	1
701f398e-bca9-4a9b-abcc-20e2f638ad60	unclassified	0	0	0	0	2025	1
e4318adc-4b39-4418-8160-31ac91241226	unclassified	0	0	0	0	1210	1
7140e596-a5bd-4464-877f-a0a9ffe44223	unclassified	0	0	0	0	1441	1
7b91e1b4-8375-4d56-a8d6-73692154a0d1	unclassified	0	0	0	0	1409	1
879e4c2d-c02e-4616-bf82-e0a4155629c0	unclassified	0	0	0	0	1353	1
5e6b3382-c273-4c2e-87f4-c86041030d57	unclassified	0	0	0	0	1979	1
5fc6e371-cd28-4df9-b80f-ba6f19d24feb	unclassified	0	0	0	0	2241	1
9cc6c619-f8ec-46da-8fc0-784163086faa	unclassified	0	0	0	0	3988	1
2ae4ea21-6e13-4344-90d6-18eeb0dbd859	unclassified	0	0	0	0	2469	1
a90bd661-a430-4984-96e7-c723baa78ece	unclassified	0	0	0	0	3368	1
1a55a61b-9d91-4dd4-96e9-81e84a428c99	unclassified	0	0	0	0	6436	1
f3263677-1300-427a-8067-d17087da3caa	unclassified	0	0	0	0	2349	1
