readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
b540740f-85d3-4814-8727-e94c85364097	cid|1335048	1335048	3133	0	109	1432	1
74971d41-f9ed-4ef1-8319-b198527daad1	cid|550	550	2116	0	61	1513	1
db85d985-d0b0-4e5f-9bbb-75e1559941e2	unclassified	0	0	0	0	1485	1
95360716-ebe2-4ea4-a59f-97a989b0b009	cid|1235990	1235990	529	169	38	1419	1
fad540ce-0771-499f-af47-6d7f435f58d1	cid|482564	482564	484	484	37	1344	3
fad540ce-0771-499f-af47-6d7f435f58d1	cid|118323	118323	484	484	37	1344	3
fad540ce-0771-499f-af47-6d7f435f58d1	cid|1173263	1173263	484	484	37	1344	3
fd8d3271-8af1-4416-9e2c-ad4627d91cea	unclassified	0	0	0	0	1071	1
40533b7f-da09-4b0c-839e-3087f6f39e20	cid|1584	1584	2401	0	64	1439	1
90f55673-e720-43b0-a294-057bd60ce980	cid|2350	2350	2809	0	68	2413	1
81647eaa-445e-45cf-85cc-cad053e34880	cid|2045208	2045208	4356	0	81	1491	1
42d181af-ad3b-4747-bd97-6184c8d9a6b4	unclassified	0	0	0	0	4995	1
cbe79ae7-5b6f-4a3c-95ae-7081ff0af4f8	unclassified	0	0	0	0	1503	1
d263376e-1de7-47ae-a360-99316408b1d4	cid|337090	337090	196	144	29	1557	1
42422563-64cd-4c17-8b9d-55894b567ae1	unclassified	0	0	0	0	1551	1
b6c673c5-f11d-4105-96eb-8e5d04607bfd	cid|106	106	1936	1936	59	1574	2
b6c673c5-f11d-4105-96eb-8e5d04607bfd	cid|985	985	1936	1936	59	1574	2
34d21b74-c8cb-456b-ac41-0f05136b62b7	unclassified	0	0	0	0	1319	1
0ced68dc-9f21-4695-b0d8-e69d677ea2f6	unclassified	0	0	0	0	1650	1
8045ce19-795c-4f26-95d4-f7fb4953a269	cid|192	192	100	64	25	1836	1
e6dbe4f3-6206-4178-a1c2-827b728592ee	cid|2756	2756	625	0	40	1112	1
8b9350c3-acff-4779-b0d8-8af0b83a7d4d	cid|1639	1639	802	196	70	1233	1
1bcd77ef-57b1-403c-b7a4-0be714f8e2ea	species	1681	64	64	23	2338	5
1bcd77ef-57b1-403c-b7a4-0be714f8e2ea	species	1971	64	64	23	2338	5
1bcd77ef-57b1-403c-b7a4-0be714f8e2ea	genus	357	64	64	23	2338	5
1bcd77ef-57b1-403c-b7a4-0be714f8e2ea	species	1136941	64	64	23	2338	5
1bcd77ef-57b1-403c-b7a4-0be714f8e2ea	species	1683	64	64	23	2338	5
cf453f81-8138-4abf-9d47-06ca3b6aea85	cid|55197	55197	6786	0	144	1505	1
cc36f80e-c219-440c-b83f-49205feb2951	unclassified	0	0	0	0	1415	1
55e54fc4-32a9-4842-947c-f88ff3e743fe	cid|423605	423605	961	961	46	1448	2
55e54fc4-32a9-4842-947c-f88ff3e743fe	cid|63	63	961	961	46	1448	2
5f2e5a95-a25b-46a6-86a8-bcfcf27e6f9f	cid|2109913	2109913	729	729	42	1508	3
5f2e5a95-a25b-46a6-86a8-bcfcf27e6f9f	cid|2109915	2109915	729	729	42	1508	3
5f2e5a95-a25b-46a6-86a8-bcfcf27e6f9f	cid|179636	179636	729	729	42	1508	3
a2ba8aea-3829-4129-9129-a307e033430e	cid|1848255	1848255	5521	5521	170	1457	2
a2ba8aea-3829-4129-9129-a307e033430e	cid|1848756	1848756	5521	5521	170	1457	2
40902aa5-abf8-48dd-90b3-d4cf47289240	cid|2005262	2005262	784	225	43	1452	1
eb8d234f-0203-4fc4-86fe-3e3c35642c43	cid|44674	44674	625	625	65	1436	2
eb8d234f-0203-4fc4-86fe-3e3c35642c43	cid|65553	65553	625	625	65	1436	2
17c3ae35-5fbe-4dff-9d78-5a430e69d05d	genus	893	676	676	41	1521	5
17c3ae35-5fbe-4dff-9d78-5a430e69d05d	genus	407	676	676	41	1521	5
17c3ae35-5fbe-4dff-9d78-5a430e69d05d	genus	20	676	676	41	1521	5
17c3ae35-5fbe-4dff-9d78-5a430e69d05d	genus	1041	676	676	41	1521	5
17c3ae35-5fbe-4dff-9d78-5a430e69d05d	family	41297	676	676	41	1521	5
9bfdf93a-c472-466e-ba7d-dc92ae21254f	unclassified	0	0	0	0	1552	1
bdf1821d-bdcb-4693-86c2-2958446c45f1	unclassified	0	0	0	0	1116	1
1a645f25-0f43-4b50-b365-b3a964c42234	cid|1428	1428	64	64	23	1317	2
1a645f25-0f43-4b50-b365-b3a964c42234	cid|1396	1396	64	64	23	1317	2
f948d8a1-2322-43b1-b9d0-60bd5532d542	cid|1825069	1825069	121	100	26	1238	1
5b557c53-b8c3-49f4-a6d8-19e8deaf8b85	cid|562	562	8429	6290	157	1144	1
